SUBDIVISION,YEAR,Jan-Feb,Mar-May,June-September,Oct-Dec,ANNUAL
Andaman & Nicobar Islands,1931,25.3,210.4,1548.2,573.8,2357.7
Andaman & Nicobar Islands,1932,5.3,548,1064.185504,153.7402553,1771.225759
Andaman & Nicobar Islands,1933,16.2,431.9,1973.9,565.5,2987.5
Andaman & Nicobar Islands,1934,180.2,200.3,2717.9,624.4,3722.8
Andaman & Nicobar Islands,1935,6.6,860.9,1733.3,553.2,3154
Andaman & Nicobar Islands,1936,31.8,353.8817117,2109.8,586.3,3081.781712
Andaman & Nicobar Islands,1937,32.3,442.5,1863.8,1252.5,3591.1
Andaman & Nicobar Islands,1938,70.6,521,1930.6,742.2,3264.4
Andaman & Nicobar Islands,1939,55.6,573.9,1591.9,561.1,2782.5
Andaman & Nicobar Islands,1940,3.3,380.1,1970.2,653.9,3007.5
Andaman & Nicobar Islands,1941,12.8,329.7,1627.4,928.3,2898.2
Andaman & Nicobar Islands,1942,46.6,156.1237257,1064.185504,153.7402553,1420.649485
Andaman & Nicobar Islands,1946,88,465.4,1570.6,667.6,2791.6
Andaman & Nicobar Islands,1947,136.2,397.2,1946.611863,612.1,3092.111863
Andaman & Nicobar Islands,1949,56.4,572.3,2433.2,427.7,3489.6
Andaman & Nicobar Islands,1950,0.8,359.7,1578.4,483.3,2422.2
Andaman & Nicobar Islands,1951,89.9,304.4,1747.4,1133.4,3275.1
Andaman & Nicobar Islands,1952,0.8,562,1824.8,692.3,3079.9
Andaman & Nicobar Islands,1953,121.3,420.6,1627.2,552.9,2722
Andaman & Nicobar Islands,1954,85.9,487,2419.4,456.7,3449
Andaman & Nicobar Islands,1955,85.5,742.3,1648.2,873.6,3349.6
Andaman & Nicobar Islands,1956,126.4,655.9,1604.3,693.3,3079.9
Andaman & Nicobar Islands,1957,47.3,166,1833.7,460.2,2507.2
Andaman & Nicobar Islands,1958,37.2,410.1,1710.4,649.7,2807.4
Andaman & Nicobar Islands,1959,11.9,356.1,2271.7,703.7,3343.4
Andaman & Nicobar Islands,1960,176.6,601,1563,684.5,3025.1
Andaman & Nicobar Islands,1961,181.5,1094.4,1857.3,805,3938.2
Andaman & Nicobar Islands,1962,167.3,374.1,1671.9,746.4,2959.7
Andaman & Nicobar Islands,1963,106.7,336.8,1953.5,584.7,2981.7
Andaman & Nicobar Islands,1964,87.4,551.8,1745.9,669.7,3054.8
Andaman & Nicobar Islands,1965,42.2,368.6,1774.3,978.8,3163.9
Andaman & Nicobar Islands,1966,84,427.6,1372,817.6,2701.2
Andaman & Nicobar Islands,1967,186.2,609.8,1796.4,624.2,3216.6
Andaman & Nicobar Islands,1968,23.4,383.3,1803.3,552.8,2762.8
Andaman & Nicobar Islands,1969,171,352.7,1539.2,556.3,2619.2
Andaman & Nicobar Islands,1970,106.2,488.7,1738.3,1037.7,3370.9
Andaman & Nicobar Islands,1971,74.3,471,1613.8,839.6,2998.7
Andaman & Nicobar Islands,1972,15.4,606,1844,857.7,3323.1
Andaman & Nicobar Islands,1973,38.4,478.7,1587.8,886.1,2991
Andaman & Nicobar Islands,1974,66.1,671.9,1378.7,845.4,2962.1
Andaman & Nicobar Islands,1975,304.4,395.1,1589.1,797,3085.6
Andaman & Nicobar Islands,1976,30.6,713.6,1698.2,833.6,3276
Andaman & Nicobar Islands,1977,122.9,288.3,1493,484,2388.2
Andaman & Nicobar Islands,1978,138.9,425.9,1775.9,371.7,2712.4
Andaman & Nicobar Islands,1979,44.9,215,1242.5,346.9,1849.3
Andaman & Nicobar Islands,1980,6.3,776.4,1946.2,896.4,3625.3
Andaman & Nicobar Islands,1981,38.9,366.6,1908,761.2,3074.7
Andaman & Nicobar Islands,1982,11.6,333.3,1575.8,463.8,2384.5
Andaman & Nicobar Islands,1983,22.1,253,1892.5,624.9,2792.5
Andaman & Nicobar Islands,1984,243.2,345.2,1280.7,951.2,2820.3
Andaman & Nicobar Islands,1985,31.2,357.2,1557,685.4,2630.8
Andaman & Nicobar Islands,1986,15.4,312.3,1473.6,386.6,2187.9
Andaman & Nicobar Islands,1987,107.6,201,1434.4,1020.9,2763.9
Andaman & Nicobar Islands,1988,50.1,538.2,1810.5,924.3,3323.1
Andaman & Nicobar Islands,1989,68.8,490,1424.1,550.8,2533.7
Andaman & Nicobar Islands,1990,13.6,536.7,1107.9,525,2183.2
Andaman & Nicobar Islands,1991,17.9,352.2,1689.3,476.2,2535.6
Andaman & Nicobar Islands,1992,86.8,246.8,1436.2,328.8,2098.6
Andaman & Nicobar Islands,1993,14.9,355,1312.5,555,2237.4
Andaman & Nicobar Islands,1994,42.7,687.2,2191.6,341.6,3263.1
Andaman & Nicobar Islands,1995,64.3,348,1934,769.2,3115.5
Andaman & Nicobar Islands,1996,57,424.1,1764.3,751.5,2996.9
Andaman & Nicobar Islands,1997,9.5,296.9,1988.8,459.9,2755.1
Andaman & Nicobar Islands,1998,0.9,348.9,1561.2,935.4,2846.4
Andaman & Nicobar Islands,1999,91.4,542.2,1358,708.1,2699.7
Andaman & Nicobar Islands,2000,112,812.2,1244.2,594.7,2763.1
Andaman & Nicobar Islands,2001,104.7,878.7,1515.4,582,3080.8
Andaman & Nicobar Islands,2002,10.6,478.4,1525.5,605.6,2620.1
Andaman & Nicobar Islands,2003,52.2,464.9,1406.1,432.5,2355.7
Andaman & Nicobar Islands,2004,90.4,583.2,1392.2,394.2,2460
Andaman & Nicobar Islands,2005,0,376.7,1700.3,877.5,2954.5
Andaman & Nicobar Islands,2006,30.7,534,1314.8,525.2,2404.7
Andaman & Nicobar Islands,2007,6.5,429.6,1793.2,518.9,2748.2
Andaman & Nicobar Islands,2008,77.6,877.4,1783.1,636.8,3374.9
Andaman & Nicobar Islands,2009,30.8,493.8,1627,387,2538.6
Andaman & Nicobar Islands,2010,109.7,332.2,1797.9,917.3,3157.1
Andaman & Nicobar Islands,2011,350.7,710.7,2165,601.6,3828
Andaman & Nicobar Islands,2012,165.5,620.6,2014,697.5,3497.6
Andaman & Nicobar Islands,2013,104.7,598.6,2152.1,902.3,3757.7
Andaman & Nicobar Islands,2014,50.5,249.1,1618.7,704.2,2622.5
Andaman & Nicobar Islands,2015,134.4,473.2,1678.6,618.3,2904.5
Andaman & Nicobar Islands,2016,87.8,198.9,1562.6,1002.6,2851.9
Andaman & Nicobar Islands,2017,234.3,417.1,1526,712.6,2890
Arunachal Pradesh,1916,117.9,811.8,2435.56378,153.7402553,3519.004035
Arunachal Pradesh,1917,185.9,404.8955035,2772.8,262.8,3626.395503
Arunachal Pradesh,1918,21.4,1196.9,4121.3,146.7,5486.3
Arunachal Pradesh,1919,102.3,706,2888,997.6,4693.9
Arunachal Pradesh,1920,210.3,1143.9,2649.2,103.3,4106.7
Arunachal Pradesh,1921,133.2,1136.3,4155.5,266.4,5691.4
Arunachal Pradesh,1922,110.1,820.4,2723.9,532.8,4187.2
Arunachal Pradesh,1923,170.2,720.3,2555.7,61.3,3507.5
Arunachal Pradesh,1924,130.8,752.2,3232.3,335.2,4450.5
Arunachal Pradesh,1925,194.6,953.5,3129.3,162.4,4439.8
Arunachal Pradesh,1926,78.9,676.9,2386.4,379.4,3521.6
Arunachal Pradesh,1927,256.8,636.1,3805.3,555,5253.2
Arunachal Pradesh,1928,88.6,673.5,3849.2,661.4,5272.7
Arunachal Pradesh,1929,204,1232.4,2521.7,362,4320.1
Arunachal Pradesh,1930,148.7,916.8,2789.6,479.2,4334.3
Arunachal Pradesh,1931,251,1012,3367.7,241.4,4872.1
Arunachal Pradesh,1932,180.5,1049.8,3177.1,443.5,4850.9
Arunachal Pradesh,1933,115.4,804.8,2586.6,266.6,3773.4
Arunachal Pradesh,1934,173.2,1177.9,2984,240.5,4575.6
Arunachal Pradesh,1935,161.7,680.8,3237.4,93.6,4173.5
Arunachal Pradesh,1936,281.1,822.1,3218.6,466.9,4788.7
Arunachal Pradesh,1937,125.5,751.2,2224.6,273.8,3375.1
Arunachal Pradesh,1938,266.4,1042.3,4534.5,285.9,6129.1
Arunachal Pradesh,1939,154.1,815.4,2757.6,171.5,3898.6
Arunachal Pradesh,1940,181.2,996.2,2710.8,211.3,4099.5
Arunachal Pradesh,1941,139.1,1055.7,2870.2,155.2,4220.2
Arunachal Pradesh,1942,180.7,1169.1,2436.6,41.9,3828.3
Arunachal Pradesh,1943,210.8,1265.5,2629.1,221.2,4326.6
Arunachal Pradesh,1944,140.1,972.9,2383,408.3,3904.3
Arunachal Pradesh,1945,151.2,800.2,2480.1,217.7,3649.2
Arunachal Pradesh,1946,75,1011.2,2679.9,245.1,4011.2
Arunachal Pradesh,1947,106.3,1113.2,2816.9,332.7,4369.1
Arunachal Pradesh,1948,155.1,1745.8,4206,224.2,6331.1
Arunachal Pradesh,1949,168.2,1291.5,3100.5,314.6,4874.8
Arunachal Pradesh,1950,131.4,905.2,1135.247704,449.4,2621.247704
Arunachal Pradesh,1951,97.1,1095.4,1974.7,187.1,3354.3
Arunachal Pradesh,1952,41.7,576.2,1446.7,331.5,2396.1
Arunachal Pradesh,1953,163.3,765.8,1617.5,129.1147129,2675.714713
Arunachal Pradesh,1957,40.54214574,723.1955035,2875.9,204.3,3843.937649
Arunachal Pradesh,1958,165.9,870,3338.7,688.9,5063.5
Arunachal Pradesh,1959,221.1,922.7,2792.6,259.1,4195.5
Arunachal Pradesh,1960,34.8,401,3236.8,36.8,3709.4
Arunachal Pradesh,1961,254.2,962.9,2137.9,321.5,3676.5
Arunachal Pradesh,1962,124.3,897.3,3475.2,314.0255424,4810.825542
Arunachal Pradesh,1963,49.8,777.6,3138.5,172.1,4138
Arunachal Pradesh,1964,145.7,587.2,3896.1,330.3,4959.3
Arunachal Pradesh,1965,158.1,665,1244.7,129,2196.8
Arunachal Pradesh,1966,113.9,456.5,1515.1,124.2,2209.7
Arunachal Pradesh,1967,58.8,408.5,1121.2,80,1668.5
Arunachal Pradesh,1968,95.6,560.7,1385.9,96.7,2138.9
Arunachal Pradesh,1969,29.2,363.1,1392.7,92.8,1877.8
Arunachal Pradesh,1970,128,379.6,1320.3,145.5,1973.4
Arunachal Pradesh,1971,123.8,391.3,1359.3,310.2,2184.6
Arunachal Pradesh,1972,153.4,639.3,1357.9,130.7,2281.3
Arunachal Pradesh,1973,283.5,554.1,1385.5,234.5,2457.6
Arunachal Pradesh,1974,226.3,648.7,2023.6,165.4,3064
Arunachal Pradesh,1975,94.2,454.8,1177.7,486.7,2213.4
Arunachal Pradesh,1976,121.8,608,1416.6,273.2,2419.6
Arunachal Pradesh,1977,204.7,1187.3,1950.2,432.2,3774.4
Arunachal Pradesh,1978,119.3,712.6,1417.5,281.6,2531
Arunachal Pradesh,1979,129,507.3,1619.2,518.2,2773.7
Arunachal Pradesh,1980,196,868.9,1957.1,193.4,3215.4
Arunachal Pradesh,1981,229.2,737.6,1667.4,156.6,2790.8
Arunachal Pradesh,1982,106.8,727.9,1746.4,198.3,2779.4
Arunachal Pradesh,1983,236.5,870.7,1980.5,247.4,3335.1
Arunachal Pradesh,1984,140.9,1004.9,1853,279.3,3278.1
Arunachal Pradesh,1985,135.1,948.2,1992.3,190.8,3266.4
Arunachal Pradesh,1986,109.4,559.9,1599.1,227.2,2495.6
Arunachal Pradesh,1987,76.2,730.5,2461.8,164.8,3433.3
Arunachal Pradesh,1988,169.2,1065.5,2457,463.7,4155.4
Arunachal Pradesh,1989,224.5,721.3,1956.7,379.2,3281.7
Arunachal Pradesh,1990,167.2,805.1,2369.5,262.3,3604.1
Arunachal Pradesh,1991,110.9,727.7,2303.9,292,3434.5
Arunachal Pradesh,1992,162.1,620.2,1702.6,221.9,2706.8
Arunachal Pradesh,1993,221.1,673.3,2203.7,250.8,3348.9
Arunachal Pradesh,1994,120.8,830.3,1154.3,181.9,2287.3
Arunachal Pradesh,1995,100.5,647,2155.3,166,3068.8
Arunachal Pradesh,1996,91.9,733.2,1472.5,223,2520.6
Arunachal Pradesh,1997,94.7,465.8,1583.7,130.7,2274.9
Arunachal Pradesh,1998,105.5,593.6,2707.4,210.2,3616.7
Arunachal Pradesh,1999,14,543.2,1519,240.5,2316.7
Arunachal Pradesh,2000,101.2,700.9,1650,144.8,2596.9
Arunachal Pradesh,2001,119.7,560.4,1147.8,208,2035.9
Arunachal Pradesh,2002,111.4,571.6,1549.4,156.9,2389.3
Arunachal Pradesh,2003,106.1,465.1,1656.7,223.8,2451.7
Arunachal Pradesh,2004,77.1,684.4,1578.7,205.6,2545.8
Arunachal Pradesh,2005,216,604.6,1343.7,171.2,2335.5
Arunachal Pradesh,2006,109.7,587.7,1393.4,168.6,2259.4
Arunachal Pradesh,2007,110.8,590.9,2185.1,133.8,3020.6
Arunachal Pradesh,2008,116.4,500,1508.7,119.4,2244.5
Arunachal Pradesh,2009,110.8,394.7,1111.8,132.7,1750
Arunachal Pradesh,2010,13.8,1017.4,1653.6,170.8,2855.6
Arunachal Pradesh,2011,91.3,634.9,1384.1,83.3,2193.6
Arunachal Pradesh,2012,93.6,725,2325.6,296.3,3440.5
Arunachal Pradesh,2013,59,626,1165.9,192,2042.9
Arunachal Pradesh,2014,120.9,466,1750.8,65.4,2403.1
Arunachal Pradesh,2015,78.3,623.5,1936.9,128.8,2767.5
Arunachal Pradesh,2016,102.6,740.4,1678.1,185.7,2706.8
Arunachal Pradesh,2017,94.4,827.1,1583.6,240.4,2745.5
Assam & Meghalaya,1901,46.6,460.6,1711,280.5,2498.7
Assam & Meghalaya,1902,19.5,717.7,2108.8,106.1,2952.1
Assam & Meghalaya,1903,45.3,450.8,1828.4,220.1,2544.6
Assam & Meghalaya,1904,67.2,884.2,1548,164.8,2664.2
Assam & Meghalaya,1905,36.8,626.4,1885.9,241.6,2790.7
Assam & Meghalaya,1906,68.9,623.2,1780.3,190.8,2663.2
Assam & Meghalaya,1907,93,578.2,1793.9,56.2,2521.3
Assam & Meghalaya,1908,41.3,530,1610.8,95.7,2277.8
Assam & Meghalaya,1909,27.9,509.8,1646,193.3,2377
Assam & Meghalaya,1910,41.3,638.9,1986.9,220.2,2887.3
Assam & Meghalaya,1911,93.2,758.7,1957.5,286.7,3096.1
Assam & Meghalaya,1912,66.8,677.3,1739.9,259.4,2743.4
Assam & Meghalaya,1913,102.1,844.9,1529.8,283.7,2760.5
Assam & Meghalaya,1914,85.4,607.4,1565.5,85.6,2343.9
Assam & Meghalaya,1915,68.2,939.2,2035.2,122.6,3165.2
Assam & Meghalaya,1916,48,686.9,1582.1,284,2601
Assam & Meghalaya,1917,104.4,413.7,1717.5,284.4,2520
Assam & Meghalaya,1918,20.7,565.1,2442.4,78.6,3106.8
Assam & Meghalaya,1919,25.5,451.6,1635.2,231.8,2344.1
Assam & Meghalaya,1920,55.8,695.6,1737.7,134.6,2623.7
Assam & Meghalaya,1921,55.4,873.5,1909.7,160.9,2999.5
Assam & Meghalaya,1922,21.5,479.6,1612.3,148.6,2262
Assam & Meghalaya,1923,60,673,1592.1,115.3,2440.4
Assam & Meghalaya,1924,33.3,541.3,1862.9,254.1,2691.6
Assam & Meghalaya,1925,47.9,934.3,1464.9,103.4,2550.5
Assam & Meghalaya,1926,46.6,551.6,1679.7,233.7,2511.6
Assam & Meghalaya,1927,94.3,569.6,1937.8,191.2,2792.9
Assam & Meghalaya,1928,29.4,646.4,1640.4,317.9,2634.1
Assam & Meghalaya,1929,87.7,976,1654.4,235.7,2953.8
Assam & Meghalaya,1930,59,509,1712.3,270.5,2550.8
Assam & Meghalaya,1931,36.8,716.3,1872.4,174.6,2800.1
Assam & Meghalaya,1932,51.6,710.9,1906.2,219.9,2888.6
Assam & Meghalaya,1933,39.3,517.8,1649.1,132.9,2339.1
Assam & Meghalaya,1934,86.7,772.9,1916.3,298.9,3074.8
Assam & Meghalaya,1935,56.6,570.1,2001,50.8,2678.5
Assam & Meghalaya,1936,72.3,716.3,1655.9,226.8,2671.3
Assam & Meghalaya,1937,53.3,523.3,1590.3,157.7,2324.6
Assam & Meghalaya,1938,43.4,587.3,1958.2,197.6,2786.5
Assam & Meghalaya,1939,35.1,539.1,1632.5,194.8,2401.5
Assam & Meghalaya,1940,59.4,645.3,1620.4,126.6,2451.7
Assam & Meghalaya,1941,37.2,821.3,1681,169.9,2709.4
Assam & Meghalaya,1942,32.7,833.5,1743.4,67.5,2677.1
Assam & Meghalaya,1943,88.5,824.9,1688.1,102.3,2703.8
Assam & Meghalaya,1944,60.5,719.9,1637.2,106.8,2524.4
Assam & Meghalaya,1945,76.7,603.5,1784.9,200.6,2665.7
Assam & Meghalaya,1946,19.8,609.1,1694.3,356.3,2679.5
Assam & Meghalaya,1947,12.9,707.5,1704.5,218.3,2643.2
Assam & Meghalaya,1948,52.5,1001.1,1896.9,235,3185.5
Assam & Meghalaya,1949,46,782.9,1982,172.4,2983.3
Assam & Meghalaya,1950,72.4,488.5,1643.1,188.4,2392.4
Assam & Meghalaya,1951,8.2,546.8,1736.4,322.5,2613.9
Assam & Meghalaya,1952,14.8,729,1785.1,322.4,2851.3
Assam & Meghalaya,1953,31.3,762.4,1603.4,162.9,2560
Assam & Meghalaya,1954,67.7,796.9,1812.6,182,2859.2
Assam & Meghalaya,1955,18.7,682.5,1812.6,247.4,2761.2
Assam & Meghalaya,1956,33,860,1706.7,203.2,2802.9
Assam & Meghalaya,1957,100.4,605.3,1428.5,122.8,2257
Assam & Meghalaya,1958,63,747.9,1579.9,235.7,2626.5
Assam & Meghalaya,1959,76.4,724.6,1424.5,310.2,2535.7
Assam & Meghalaya,1960,11.2,399.8,1837.1,94.1,2342.2
Assam & Meghalaya,1961,31.2,732.6,1261.8,169.8,2195.4
Assam & Meghalaya,1962,52.5,521,1587.4,135.1,2296
Assam & Meghalaya,1963,11.2,522.8,1797,180.7,2511.7
Assam & Meghalaya,1964,32.2,646.4,1824.9,226.2,2729.7
Assam & Meghalaya,1965,78.7,537.8,1626.7,155.7,2398.9
Assam & Meghalaya,1966,43.6,524.1,2053.9,167.7,2789.3
Assam & Meghalaya,1967,48.7,505.4,1452.9,116.3,2123.3
Assam & Meghalaya,1968,42.7,681.3,1666.8,140,2530.8
Assam & Meghalaya,1969,29.2,532.5,1660.4,110.2,2332.3
Assam & Meghalaya,1970,82.8,787.9,1913.5,264.3,3048.5
Assam & Meghalaya,1971,55.3,416.8,1551.4,291.6,2315.1
Assam & Meghalaya,1972,57.6,698.9,1515.3,107.3,2379.1
Assam & Meghalaya,1973,92.6,605.5,1742.6,231.4,2672.1
Assam & Meghalaya,1974,43,703.9,2356.3,300.4,3403.6
Assam & Meghalaya,1975,32.3,567.9,1473.9,196.5,2270.6
Assam & Meghalaya,1976,42,411.5,1407.8,94.7,1956
Assam & Meghalaya,1977,25.3,841.1,1505.1,245.2,2616.7
Assam & Meghalaya,1978,13.2,398.9,1478.2,121.5,2011.8
Assam & Meghalaya,1979,12,357.6,1542.6,276.2,2188.4
Assam & Meghalaya,1980,49.4,559.5,1537.1,143.2,2289.2
Assam & Meghalaya,1981,60.3,494.6,1431.8,92.6,2079.3
Assam & Meghalaya,1982,32.9,520.4,1720.7,108.3,2382.3
Assam & Meghalaya,1983,54.2,534.1,1844.2,187.7,2620.2
Assam & Meghalaya,1984,29.6,647.4,2292.4,187.5,3156.9
Assam & Meghalaya,1985,41,755.7,1895.1,109.9,2801.7
Assam & Meghalaya,1986,28.1,470.5,1726.7,367.4,2592.7
Assam & Meghalaya,1987,36.6,507,2170.7,207.3,2921.6
Assam & Meghalaya,1988,53.4,808.8,2151,248.5,3261.7
Assam & Meghalaya,1989,62.1,473.9,1929.5,216.8,2682.3
Assam & Meghalaya,1990,66.1,734.5,1750.1,220.5,2771.2
Assam & Meghalaya,1991,43.9,733.6,1783.8,276.7,2838
Assam & Meghalaya,1992,61,468.8,1578.5,151.4,2259.7
Assam & Meghalaya,1993,170.2,598.6,1969.9,140.5,2879.2
Assam & Meghalaya,1994,69.1,600.5,1273.4,178.3,2121.3
Assam & Meghalaya,1995,48.4,486.8,2169,181.8,2886
Assam & Meghalaya,1996,36,616.4,1543.5,270.9,2466.8
Assam & Meghalaya,1997,58.9,465.5,1763.4,84.4,2372.2
Assam & Meghalaya,1998,43.3,573.1,1947.4,239.3,2803.1
Assam & Meghalaya,1999,2.9,656.1,1710.1,225,2594.1
Assam & Meghalaya,2000,34.2,679.5,1666.6,106.5,2486.8
Assam & Meghalaya,2001,45.2,495.9,1413.3,224.2,2178.6
Assam & Meghalaya,2002,25.9,650.1,1589.8,126.8,2392.6
Assam & Meghalaya,2003,51,546.5,1573.3,263.4,2434.2
Assam & Meghalaya,2004,34.8,755.8,1849.7,353.9,2994.2
Assam & Meghalaya,2005,53.3,660.9,1525.2,228.8,2468.2
Assam & Meghalaya,2006,41.6,515.5,1208.2,133.4,1898.7
Assam & Meghalaya,2007,75.2,486,1975.1,216.4,2752.7
Assam & Meghalaya,2008,44.2,474.3,1683.9,137.2,2339.6
Assam & Meghalaya,2009,19.5,426.3,1473.5,148.9,2068.2
Assam & Meghalaya,2010,3.6,882.3,1690.1,135.4,2711.4
Assam & Meghalaya,2011,22.5,439.4,1236,45.6,1743.5
Assam & Meghalaya,2012,22.1,493.7,1874.8,218.8,2609.4
Assam & Meghalaya,2013,10.7,503.5,1173,129.3,1816.5
Assam & Meghalaya,2014,30.3,431.9,1705.6,38.4,2206.2
Assam & Meghalaya,2015,28.9,620.9,1729.4,91.8,2471
Assam & Meghalaya,2016,34.8,725.9,1323.9,182.1,2266.7
Assam & Meghalaya,2017,39.5,696,1742.7,233.4,2711.6
Naga Mani Mizo Tripura,1901,29.8,359.6,1544.8,234.1,2168.3
Naga Mani Mizo Tripura,1902,5.3,549.6,1504,116,2174.9
Naga Mani Mizo Tripura,1903,47,345.2,1595.5,243.2,2230.9
Naga Mani Mizo Tripura,1904,49.2,568.3,1678.2,223.9,2519.6
Naga Mani Mizo Tripura,1905,44.4,661.8,1539.8,281.5,2527.5
Naga Mani Mizo Tripura,1906,78.5,474.2,1770.9,190.9,2514.5
Naga Mani Mizo Tripura,1907,69.5,437.9,1442.5,171.9,2121.8
Naga Mani Mizo Tripura,1908,41.4,397.5,1581.2,299.1,2319.2
Naga Mani Mizo Tripura,1909,10.7,440,1550,308.1,2308.8
Naga Mani Mizo Tripura,1910,36.9,397.1,1625.8,208.3,2268.1
Naga Mani Mizo Tripura,1911,59.2,574.8,1602.1,243.7,2479.8
Naga Mani Mizo Tripura,1912,37.7,656.2,1394.9,220.1,2308.9
Naga Mani Mizo Tripura,1913,67.7,512.1,1717.1,316.2,2613.1
Naga Mani Mizo Tripura,1914,98.3,662.1,1543.5,225.2,2529.1
Naga Mani Mizo Tripura,1915,49.4,737.2,1764.1,269.2,2819.9
Naga Mani Mizo Tripura,1916,30.7,381.6,1663,479.6,2554.9
Naga Mani Mizo Tripura,1917,83.1,436.4,1491.4,211.3,2222.2
Naga Mani Mizo Tripura,1918,9.9,725.3,2145.5,132.5,3013.2
Naga Mani Mizo Tripura,1919,35.6,301.1,1509.8,201.6,2048.1
Naga Mani Mizo Tripura,1920,61.9,584.3,1582.7,146.8,2375.7
Naga Mani Mizo Tripura,1921,71,628.7,1644.7,293.8,2638.2
Naga Mani Mizo Tripura,1922,13,318.7,1916.2,214.8,2462.7
Naga Mani Mizo Tripura,1923,64.9,525.8,1781.5,313.3,2685.5
Naga Mani Mizo Tripura,1924,48.9,480.1,1779.7,393,2701.7
Naga Mani Mizo Tripura,1925,79.4,616.1,1544.2,207.7,2447.4
Naga Mani Mizo Tripura,1926,94.1,562.3,1567.7,239.1,2463.2
Naga Mani Mizo Tripura,1927,144.9,661.9,1852.7,227.8,2887.3
Naga Mani Mizo Tripura,1928,32.8,426.6,1722,291,2472.4
Naga Mani Mizo Tripura,1929,46,723.7,1930.3,159.4,2859.4
Naga Mani Mizo Tripura,1930,76.2,491.6,1587.1,332.5,2487.4
Naga Mani Mizo Tripura,1931,55.7,530.1,1573.3,302.1,2461.2
Naga Mani Mizo Tripura,1932,75.8,584.9,1870.5,230.6,2761.8
Naga Mani Mizo Tripura,1933,22.2,499.7,1802.8,127.1,2451.8
Naga Mani Mizo Tripura,1934,151.1,561.4,1890.5,437.8,3040.8
Naga Mani Mizo Tripura,1935,48.9,388.2,1946.1,160.1,2543.3
Naga Mani Mizo Tripura,1936,92.4,821.6,1765,238.2,2917.2
Naga Mani Mizo Tripura,1937,60.1,459.8,1924.8,297,2741.7
Naga Mani Mizo Tripura,1938,58.4,716.4,1841.3,355.6,2971.7
Naga Mani Mizo Tripura,1939,61.9,512.6,1803.1,230.8,2608.4
Naga Mani Mizo Tripura,1940,74.9,592,1673.4,186.6,2526.9
Naga Mani Mizo Tripura,1941,77.2,853.8,1839.7,195.4,2966.1
Naga Mani Mizo Tripura,1942,21.7,634.4,1814.6,210.1,2680.8
Naga Mani Mizo Tripura,1943,97.2,485.3,1758.7,86.8,2428
Naga Mani Mizo Tripura,1944,111.6,520.1,2129.9,115.6,2877.2
Naga Mani Mizo Tripura,1945,129.6,592.3,2057.7,272.2,3051.8
Naga Mani Mizo Tripura,1946,19.1,779.2,1868.2,369.6,3036.1
Naga Mani Mizo Tripura,1947,7.3,594.7,2271.1,337.4,3210.5
Naga Mani Mizo Tripura,1948,70.6,729.2,1807.1,215.1,2822
Naga Mani Mizo Tripura,1949,20.7,857.2,1914.9,183.5,2976.3
Naga Mani Mizo Tripura,1950,72,374.3,1647.5,329.1,2422.9
